Sexe,Age_Bac,Serie_Bac,Etablissement,Lieu_Habitation_Bac,Matieres_Preferees,Secteur_Desire,Competences_Techniques,Note_Maths,Note_Francais_Ecrit,Note_Francais_Oral,Note_Anglais_Ecrit,Note_Anglais_Oral,Note_Philo,Note_Physique_Chimie,Note_SVT,Note_Histoire_Geo,Note_EPS,Note_Espagnol_Ecrit,Note_Espagnol_Oral,Note_Facultative_1,Note_Facultative_2,Points_BAC,Personnalite,Religion,Secteur_Activite_Famille,Secteur_Activite,Justification_Choix,Descriptions
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,12.552679889600102,13.741220018399982,12.258779981600018,12.129389990800009,12.964880073599932,8.964880073599932,13.258779981600018,13.741220018399982,6.482440036799966,11.811459871200118,11.0,12.0,15.517559963200034,14.0,241.79851937440057,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Masculin,17,C,COLLEGE SAINT VIATEUR,Bouaké ,"Science Physique, Anglais",Arts,Organisation,13.024866293876109,13.662522284353981,12.337477715646019,12.168738857823008,12.650089137415929,8.650089137415929,13.337477715646019,13.662522284353981,6.325044568707964,12.362344009522126,11.0,12.0,15.674955431292036,14.0,244.4742423319646,"Réservé, Confiant, Motivé, Sociable, Consciencieux, Méthodique",Christianisme,BTP / Matériaux de construction,Arts,"Passion personnelle, Innovation et créativité, Environnement de travail agréable",Développement de compétences spécifiques
Masculin,17,C,COLLEGE SAINT VIATEUR,Bouaké ,"Science Physique, Anglais",Arts,Organisation,15.129733543463534,13.311711076089411,12.688288923910589,12.344144461955295,11.246844304357644,7.246844304357644,13.688288923910589,13.311711076089411,5.623422152178822,14.818022467374124,11.0,12.0,16.376577847821178,14.0,256.40182341296,"Réservé, Confiant, Motivé, Sociable, Consciencieux, Méthodique",Christianisme,BTP / Matériaux de construction,Arts,"Passion personnelle, Innovation et créativité, Environnement de travail agréable",Développement de compétences spécifiques
Masculin,17,C,COLLEGE SAINT VIATEUR,Bouaké ,"Science Physique, Anglais",Arts,Organisation,13.879591872933135,13.52006802117781,12.47993197882219,12.239965989411095,12.080272084711243,8.080272084711243,13.47993197882219,13.52006802117781,6.040136042355622,13.359523851755323,11.0,12.0,15.959863957644378,14.0,249.31768727995444,"Réservé, Confiant, Motivé, Sociable, Consciencieux, Méthodique",Christianisme,BTP / Matériaux de construction,Arts,"Passion personnelle, Innovation et créativité, Environnement de travail agréable",Développement de compétences spécifiques
Masculin,17,C,COLLEGE SAINT VIATEUR,Bouaké ,"Science Physique, Anglais",Arts,Organisation,13.719738323940323,13.54671027934328,12.45328972065672,12.22664486032836,12.186841117373119,8.186841117373119,13.45328972065672,13.54671027934328,6.093420558686559,13.173028044597043,11.0,12.0,15.90657944131344,14.0,248.4118505023285,"Réservé, Confiant, Motivé, Sociable, Consciencieux, Méthodique",Christianisme,BTP / Matériaux de construction,Arts,"Passion personnelle, Innovation et créativité, Environnement de travail agréable",Développement de compétences spécifiques
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,12.109126733153163,13.815145544474474,12.184854455525526,12.092427227762764,13.260582177897891,9.260582177897891,13.184854455525526,13.815145544474474,6.630291088948946,11.29398118867869,11.0,12.0,15.369708911051054,14.0,239.28505148786792,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Masculin,17,C,COLLEGE SAINT VIATEUR,Bouaké ,"Science Physique, Anglais",Arts,Organisation,11.182492233412649,13.969584627764558,12.030415372235442,12.015207686117721,13.878338511058235,9.878338511058235,13.030415372235442,13.969584627764558,6.939169255529118,10.212907605648091,11.0,12.0,15.060830744470882,14.0,234.03412265600502,"Réservé, Confiant, Motivé, Sociable, Consciencieux, Méthodique",Christianisme,BTP / Matériaux de construction,Arts,"Passion personnelle, Innovation et créativité, Environnement de travail agréable",Développement de compétences spécifiques
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,15.650796940166687,13.224867176638885,12.775132823361115,12.387566411680558,10.899468706555542,6.899468706555542,13.775132823361115,13.224867176638885,5.449734353277771,15.425929763527801,11.0,12.0,16.55026564672223,14.0,259.3545159942779,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,16.636993649385133,13.060501058435811,12.939498941564189,12.469749470782094,10.242004233743243,6.242004233743243,13.939498941564189,13.060501058435811,5.1210021168716215,16.576492590949325,11.0,12.0,16.878997883128378,14.0,264.9429640131824,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,16.368964102565894,13.105172649572351,12.894827350427649,12.447413675213824,10.420690598289404,6.420690598289404,13.894827350427649,13.105172649572351,5.210345299144702,16.26379145299354,11.0,12.0,16.789654700855298,14.0,263.42412991454006,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Masculin,17,C,COLLEGE SAINT VIATEUR,Bouaké ,"Science Physique, Anglais",Arts,Organisation,13.412600127133489,13.597899978811085,12.402100021188915,12.201050010594457,12.39159991524434,8.39159991524434,13.402100021188915,13.597899978811085,6.19579995762217,12.814700148322405,11.0,12.0,15.804200042377829,14.0,246.6714007204231,"Réservé, Confiant, Motivé, Sociable, Consciencieux, Méthodique",Christianisme,BTP / Matériaux de construction,Arts,"Passion personnelle, Innovation et créativité, Environnement de travail agréable",Développement de compétences spécifiques
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,16.531245410138702,13.078125764976884,12.921874235023116,12.460937117511559,10.312503059907533,6.312503059907533,13.921874235023116,13.078125764976884,5.156251529953766,16.45311964516182,11.0,12.0,16.843748470046233,14.0,264.343723990786,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Masculin,17,C,COLLEGE SAINT VIATEUR,Bouaké ,"Science Physique, Anglais",Arts,Organisation,16.469044987688484,13.088492502051919,12.911507497948081,12.45575374897404,10.353970008207678,6.353970008207678,13.911507497948081,13.088492502051919,5.176985004103839,16.380552485636564,11.0,12.0,16.823014995896163,14.0,263.99125493023473,"Réservé, Confiant, Motivé, Sociable, Consciencieux, Méthodique",Christianisme,BTP / Matériaux de construction,Arts,"Passion personnelle, Innovation et créativité, Environnement de travail agréable",Développement de compétences spécifiques
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,12.175897174514871,13.804017137580855,12.195982862419145,12.097991431209573,13.216068550323419,9.216068550323419,13.195982862419145,13.804017137580855,6.608034275161709,11.371880036934016,11.0,12.0,15.39196572483829,14.0,239.66341732225095,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,11.271363733463229,13.954772711089461,12.045227288910539,12.02261364445527,13.819090844357849,9.819090844357849,13.045227288910539,13.954772711089461,6.909545422178924,10.316591022373766,11.0,12.0,15.090454577821076,14.0,234.5377278229583,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,12.951981984579586,13.674669669236735,12.325330330763265,12.162665165381632,12.698678676946942,8.698678676946942,13.325330330763265,13.674669669236735,6.349339338473471,12.27731231534285,11.0,12.0,15.650660661526528,14.0,244.06123124595098,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,13.332063738136892,13.611322710310517,12.388677289689483,12.194338644844741,12.445290841242072,8.445290841242072,13.388677289689483,13.611322710310517,6.222645420621036,12.720741027826374,11.0,12.0,15.777354579378963,14.0,246.21502784944238,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,12.628094190643376,13.728650968226104,12.271349031773896,12.135674515886947,12.914603872904417,8.914603872904417,13.271349031773896,13.728650968226104,6.457301936452208,11.899443222417272,11.0,12.0,15.542698063547792,14.0,242.22586708031247,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,15.972425054911575,13.17126249084807,12.82873750915193,12.414368754575964,10.685049963392283,6.685049963392283,13.82873750915193,13.17126249084807,5.342524981696141,15.801162564063505,11.0,12.0,16.65747501830386,14.0,261.1770753111656,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,13.140519960161535,13.643246673306411,12.356753326693589,12.178376663346794,12.572986693225642,8.572986693225642,13.356753326693589,13.643246673306411,6.286493346612821,12.497273286855124,11.0,12.0,15.713506653387178,14.0,245.12961310758203,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,12.685607058124285,13.71906549031262,12.28093450968738,12.14046725484369,12.876261961250478,8.876261961250478,13.28093450968738,13.71906549031262,6.438130980625239,11.966541567811666,11.0,12.0,15.561869019374761,14.0,242.55177332937095,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Masculin,17,C,COLLEGE SAINT VIATEUR,Bouaké ,"Science Physique, Anglais",Arts,Organisation,13.74382350105051,13.542696083158248,12.457303916841752,12.228651958420876,12.170784332632994,8.170784332632994,13.457303916841752,13.542696083158248,6.085392166316497,13.20112741789226,11.0,12.0,15.914607833683503,14.0,248.54833317261955,"Réservé, Confiant, Motivé, Sociable, Consciencieux, Méthodique",Christianisme,BTP / Matériaux de construction,Arts,"Passion personnelle, Innovation et créativité, Environnement de travail agréable",Développement de compétences spécifiques
Masculin,17,C,COLLEGE SAINT VIATEUR,Bouaké ,"Science Physique, Anglais",Arts,Organisation,16.154454650151425,13.140924224974762,12.859075775025238,12.429537887512618,10.56369689989905,6.563696899899051,13.859075775025238,13.140924224974762,5.281848449949525,16.01353042517666,11.0,12.0,16.718151550050475,14.0,262.2085763508581,"Réservé, Confiant, Motivé, Sociable, Consciencieux, Méthodique",Christianisme,BTP / Matériaux de construction,Arts,"Passion personnelle, Innovation et créativité, Environnement de travail agréable",Développement de compétences spécifiques
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,15.813181884524237,13.19780301924596,12.80219698075404,12.40109849037702,10.791212076983841,6.791212076983841,13.80219698075404,13.19780301924596,5.395606038491921,15.615378865278277,11.0,12.0,16.60439396150808,14.0,260.2746973456374,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,11.447303862078625,13.925449356320229,12.074550643679771,12.037275321839886,13.701797425280917,9.701797425280917,13.074550643679771,13.925449356320229,6.850898712640459,10.521854505758396,11.0,12.0,15.149101287359542,14.0,235.53472188511222,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,16.921321619603106,13.013113063399484,12.986886936600516,12.493443468300258,10.05245225359793,6.052452253597931,13.986886936600516,13.013113063399484,5.026226126798965,16.908208556203622,11.0,12.0,16.973773873201033,14.0,266.5541558444176,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Masculin,17,C,COLLEGE SAINT VIATEUR,Bouaké ,"Science Physique, Anglais",Arts,Organisation,12.366531384220055,13.772244769296657,12.227755230703343,12.11387761535167,13.088979077186629,9.088979077186629,13.227755230703343,13.772244769296657,6.544489538593314,11.594286614923398,11.0,12.0,15.455510461406686,14.0,240.74367784391364,"Réservé, Confiant, Motivé, Sociable, Consciencieux, Méthodique",Christianisme,BTP / Matériaux de construction,Arts,"Passion personnelle, Innovation et créativité, Environnement de travail agréable",Développement de compétences spécifiques
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,12.192294089205035,13.801284318465827,12.198715681534173,12.099357840767086,13.205137273863311,9.205137273863311,13.198715681534173,13.801284318465827,6.602568636931656,11.391009770739206,11.0,12.0,15.397431363068344,14.0,239.75633317216187,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Masculin,17,C,COLLEGE SAINT VIATEUR,Bouaké ,"Science Physique, Anglais",Arts,Organisation,16.966867297258386,13.005522117123602,12.994477882876398,12.497238941438198,10.02208846849441,6.02208846849441,13.994477882876398,13.005522117123602,5.011044234247205,16.961345180134785,11.0,12.0,16.988955765752795,14.0,266.8122480177975,"Réservé, Confiant, Motivé, Sociable, Consciencieux, Méthodique",Christianisme,BTP / Matériaux de construction,Arts,"Passion personnelle, Innovation et créativité, Environnement de travail agréable",Développement de compétences spécifiques
Masculin,17,C,COLLEGE SAINT VIATEUR,Bouaké ,"Science Physique, Anglais",Arts,Organisation,12.107231429270996,13.815461428454833,12.184538571545167,12.092269285772582,13.261845713819337,9.261845713819337,13.184538571545167,13.815461428454833,6.6309228569096685,11.291770000816161,11.0,12.0,15.369077143090331,14.0,239.27431143253563,"Réservé, Confiant, Motivé, Sociable, Consciencieux, Méthodique",Christianisme,BTP / Matériaux de construction,Arts,"Passion personnelle, Innovation et créativité, Environnement de travail agréable",Développement de compétences spécifiques
Masculin,17,C,COLLEGE SAINT VIATEUR,Bouaké ,"Science Physique, Anglais",Arts,Organisation,12.758855936914298,13.706857343847616,12.293142656152384,12.146571328076192,12.82742937539047,8.82742937539047,13.293142656152384,13.706857343847616,6.413714687695235,12.051998593066681,11.0,12.0,15.586285312304765,14.0,242.966850309181,"Réservé, Confiant, Motivé, Sociable, Consciencieux, Méthodique",Christianisme,BTP / Matériaux de construction,Arts,"Passion personnelle, Innovation et créativité, Environnement de travail agréable",Développement de compétences spécifiques
Masculin,17,C,COLLEGE SAINT VIATEUR,Bouaké ,"Science Physique, Anglais",Arts,Organisation,12.625956991754077,13.729007168040987,12.270992831959013,12.135496415979507,12.91602867216395,8.91602867216395,13.270992831959013,13.729007168040987,6.458014336081975,11.89694982371309,11.0,12.0,15.541985663918025,14.0,242.21375628660644,"Réservé, Confiant, Motivé, Sociable, Consciencieux, Méthodique",Christianisme,BTP / Matériaux de construction,Arts,"Passion personnelle, Innovation et créativité, Environnement de travail agréable",Développement de compétences spécifiques
Masculin,17,C,COLLEGE SAINT VIATEUR,Bouaké ,"Science Physique, Anglais",Arts,Organisation,12.372377919884325,13.771270346685945,12.228729653314055,12.114364826657027,13.085081386743783,9.085081386743783,13.228729653314055,13.771270346685945,6.542540693371891,11.60110757319838,11.0,12.0,15.457459306628108,14.0,240.77680821267785,"Réservé, Confiant, Motivé, Sociable, Consciencieux, Méthodique",Christianisme,BTP / Matériaux de construction,Arts,"Passion personnelle, Innovation et créativité, Environnement de travail agréable",Développement de compétences spécifiques
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,11.444267910404543,13.92595534826591,12.07404465173409,12.037022325867046,13.703821393063638,9.703821393063638,13.07404465173409,13.92595534826591,6.851910696531819,10.518312562138632,11.0,12.0,15.148089303468181,14.0,235.51751815895906,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,13.150794371265636,13.641534271455727,12.358465728544273,12.179232864272135,12.56613708582291,8.56613708582291,13.358465728544273,13.641534271455727,6.283068542911455,12.509260099809907,11.0,12.0,15.716931457088545,14.0,245.18783477050528,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,11.695214357150778,13.88413094047487,12.11586905952513,12.057934529762566,13.536523761899481,9.536523761899481,13.11586905952513,13.88413094047487,6.768261880949741,10.811083416675908,11.0,12.0,15.23173811905026,14.0,236.9395480238544,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,16.17862055525356,13.136896574124407,12.863103425875593,12.431551712937797,10.547586296497625,6.5475862964976255,13.863103425875593,13.136896574124407,5.273793148248813,16.041723981129156,11.0,12.0,16.726206851751186,14.0,262.3455164797702,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,14.739788760965347,13.376701873172442,12.623298126827558,12.311649063413778,11.506807492689768,7.506807492689768,13.623298126827558,13.376701873172442,5.753403746344884,14.363086887792905,11.0,12.0,16.246596253655117,14.0,254.19213631213697,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Masculin,17,C,COLLEGE SAINT VIATEUR,Bouaké ,"Science Physique, Anglais",Arts,Organisation,15.014611850884105,13.33089802485265,12.66910197514735,12.334550987573675,11.323592099410597,7.323592099410597,13.66910197514735,13.33089802485265,5.661796049705298,14.683713826031456,11.0,12.0,16.3382039502947,14.0,255.74946715500994,"Réservé, Confiant, Motivé, Sociable, Consciencieux, Méthodique",Christianisme,BTP / Matériaux de construction,Arts,"Passion personnelle, Innovation et créativité, Environnement de travail agréable",Développement de compétences spécifiques
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,11.381350101716142,13.936441649713977,12.063558350286023,12.031779175143011,13.745766598855905,9.745766598855905,13.063558350286023,13.936441649713977,6.8728832994279525,10.444908452002165,11.0,12.0,15.127116700572047,14.0,235.1609839097248,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,12.865893930293973,13.689017678284337,12.310982321715663,12.155491160857832,12.756070713137351,8.756070713137351,13.310982321715663,13.689017678284337,6.378035356568676,12.176876252009635,11.0,12.0,15.621964643431324,14.0,243.5733989383325,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Masculin,17,C,COLLEGE SAINT VIATEUR,Bouaké ,"Science Physique, Anglais",Arts,Organisation,15.048900067839519,13.325183322026747,12.674816677973253,12.337408338986627,11.300733288106988,7.300733288106988,13.674816677973253,13.325183322026747,5.650366644053494,14.723716745812771,11.0,12.0,16.349633355946505,14.0,255.9437670510906,"Réservé, Confiant, Motivé, Sociable, Consciencieux, Méthodique",Christianisme,BTP / Matériaux de construction,Arts,"Passion personnelle, Innovation et créativité, Environnement de travail agréable",Développement de compétences spécifiques
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,15.377637070028385,13.270393821661935,12.729606178338065,12.364803089169031,11.081575286647745,7.081575286647744,13.729606178338065,13.270393821661935,5.540787643323872,15.107243248366448,11.0,12.0,16.45921235667613,14.0,257.8066100634942,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Masculin,17,C,COLLEGE SAINT VIATEUR,Bouaké ,"Science Physique, Anglais",Arts,Organisation,13.174655171868721,13.637557471355214,12.362442528644786,12.181221264322394,12.550229885420853,8.550229885420853,13.362442528644786,13.637557471355214,6.2751149427104265,12.537097700513508,11.0,12.0,15.724885057289574,14.0,245.32304597392275,"Réservé, Confiant, Motivé, Sociable, Consciencieux, Méthodique",Christianisme,BTP / Matériaux de construction,Arts,"Passion personnelle, Innovation et créativité, Environnement de travail agréable",Développement de compétences spécifiques
Féminin,17,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,16.323276455457957,13.112787257423673,12.887212742576327,12.443606371288164,10.451149029694694,6.451149029694694,13.887212742576327,13.112787257423673,5.225574514847347,16.210489198034285,11.0,12.0,16.774425485152655,14.0,263.1652332475951,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
